Id;Quantity;Designator;Description;Manufacturer;Manufacturer Part Number;Supplier;Supplier Part Number
1;1;BT1;BATT LI-PO 3.7V 165MAH ;BAK TECHNOLOGY;LP-402025-1S-3;FARNELL;2077885
2;5;C1, C2, C6, C8, C9;CAP CER 1UF 10V X5R 0402;Yageo;CC0402KRX5R6BB105;Farnell;1458896
3;2;C3, C4;CAP CER 4.7UF 6.3V X5R 0402;Yageo;CC0402KRX5R5BB475;Farnell;3369135
4;1;C5;CAP CER 0.47UF 10V X5R 0402;Yageo;CC0402KRX5R6BB474;Farnell;3369138
5;3;C7, C11, C13;CAP CER 0.1UF 16V X7R 0402;Yageo;CC0402JRX7R7BB104;Farnell;3369125
6;1;C10;CAP CER 1000PF 50V X7R 0402;Yageo;CC0402KRX7R9BB102;Farnell;3019380
7;2;C12, C14;CAP CER 0.22UF 10V X5R 0402;Yageo;CC0402KRX5R6BB224;Farnell;9402055
8;1;C15;CAP CER 22000PF 16V X7R 0402;Yageo;CC0402KRX7R7BB223;Farnell;3019299
9;1;C16;CAP CER 3300PF 50V X7R 0402;Yageo;CC0402KRX7R9BB332;Farnell;3873402
10;1;D1;DIODE SCHOTTKY 20V 500MA SOD123;STMicroelectronics;STPS0520Z;FARNELL;1467545
11;2;D4, D5;LED RGB CLEAR 4SMD;KINGBRIGHT;APHF1608LSEEQBDZGKC;DIGIKEY;754-2143-1-ND
12;1;F1;PTC RESET FUSE 16V 500MA 1210;BEL;0ZCH0050FF2G;Farnell;2848519
13;1;J1;CONN RCP USB3.1 TYPEC 24P SMD RA;MOLEX;105450-0101;FARNELL;2524076
14;1;J2;MOLEX 53048-0310;MOLEX;53048-0310;FARNELL;9732918
15;1;J4;CONN HEADER R/A 4POS 2.54MM;AMPHENOL COMMUNICATIONS SOLUTIONS;77315-118-04LF;FARNELL;3728851
16;1;R1;RES SMD 3K OHM 1% 1/16W 0402;Yageo;AC0402FR-073KL;Farnell;3951323
17;1;R3;RES 5.9K OHM 1% 1/16W 0402;Yageo;RC0402FR-075K9L;Farnell;3951010
18;6;R5, R6, R7, R8, R10, R14;RES 10K OHM 1% 1/16W 0402;Yageo;RC0402FR-0710KL;Farnell;9239359
19;1;R9;RES 0.01 OHM 1% 1/10W 0603;Yageo;RL0603FR-070R01L;Farnell;8067767
20;5;R11, R12, R13, R18, R19;RES SMD 10M OHM 1% 1/16W 0402;Yageo;RC0402FR-0710ML;Farnell;1458733
21;2;R15, R16;RES SMD 180K OHM 1% 1/10W 0402;Panasonic;ERJ-H2RF1803X;Farnell;3644222
22;1;R17;RES SMD 360K OHM 1% 1/16W 0402;Yageo;RC0402FR-07360KL;Digi-Key;311-360KLRCT-ND
23;3;R20, R21, R27;RES SMD 1M OHM 1% 1/16W 0402;Yageo;RC0402FR-071ML;Farnell;9239588
24;3;R22, R24, R30;RES 1K OHM 1% 1/16W 0402;Yageo;RC0402FR-071KL;Farnell;9239235
25;2;R23, R25;RES 100K OHM 1% 1/16W 0402;Yageo;RC0402FR-07100KL;Farnell;9239472
26;2;R26, R32;RES 4.7K OHM 1% 1/16W 0402;Yageo;RC0402FR-074K7L;Farnell;9239316
27;1;R28;RES 5.1K OHM 0.5% 1/10W 0402;PANASONIC;ERJ-U2RD5101X;FARNELL;3516311
28;1;R29;RES 5.1K OHM 0.5% 1/10W 0402;PANASONIC;ERJ-U2RD5101X;FARNELL;3516311
29;1;U1;RF TXRX MODULE BT TRACE ANT SMD;INSIGHT SIP;ISP1807-LR-RS;DIGIKEY;1786-1019-1-ND
30;1;U2;IC BATT CHG LI-ION 1CELL 16QFN;TEXAS INSTRUMENTS;BQ24074RGTT;FARNELL;3123775
31;1;U3;IC BATT FUEL GAUGE LICOO2 12SON;TEXAS INSTRUMENTS;BQ27441DRZR-G1A;FARNELL;3123775
32;1;U4;IC REG LINEAR 3.3V 200MA SOT23-5;TEXAS INSTRUMENTS;TPS7A0533PDBVR;DIGIKEY;296-TPS7A0533PDBVRDKR-ND
33;1;U5;IC ECG FRONT END 20LFCSP;Analog Devices;AD8232ACPZ-R7;Farnell;4029748
34;1;U6;IC INTFACE SPECIALIZED TSOT23-6;ANALOG DEVICES;MAX16054AZT+T;FARNELL;2515822
35;1;U7;SWITCH TACTILE SPST-NO 0.02A 15V;PANASONIC;EVP-AA502W;FARNELL;2831733
36;1;U9;TVS Diode WE-TVS-Standard, VRWM=5.0V;SEMTECH;SM05.TCT;Farnell;1456392
37;1;U10;"LIGHTPIPE PNL MT CONVEX 0.250""";DIALIGHT;515-1302-0250F;FARNELL;3775816
